,brand,vintage,rating,price,num_ratings,location
0,Vega Sicilia,Unico 2010,4.8,455,1499,"Ribera del Duero, Spain"
1,Casanova di Neri,Cerretalto Brunello di Montalcino 2016,4.8,420,141,"Brunello di Montalcino, Italy"
2,Brunelli,Campo Inferi Amarone della Valpolicella Classico Riserva 2017,4.8,64.99,48,"Amarone della Valpolicella Classico, Italy"
3,Dominio de Cair,Pendón De La Aguilera 2011,4.8,219.99,45,"Ribera del Duero, Spain"
4,Château Gilette,Sauternes (Crème de Tête) 1997,4.8,384.99,37,"Sauternes, France"
5,Bodegas Mauro,Terreus Paraje de Cueva Baja 2017,4.7,146.30,280,"Castilla y León, Spain"
6,Antinori,Tenuta Tignanello 'Solaia' 2011,4.7,275,1993,"Toscana, Italy"
7,Château d'Yquem,Sauternes 2005,4.7,420,1722,"Sauternes, France"
8,Vega Sicilia,Valbuena 5º 2017,4.7,183.99,1067,"Ribera del Duero, Spain"
9,Emilio Moro,Malleolus de Sanchomartin 2016,4.7,250,412,"Ribera del Duero, Spain"
10,Viñedos de Páganos,La Nieta 2015,4.7,140.99,329,"Rioja, Spain"
11,Teso La Monja,Alabaster 2016,4.7,225,296,"Toro, Spain"
12,Vega Sicilia,Valbuena 5º 2014,4.7,262.49,4714,"Ribera del Duero, Spain"
13,Antinori,Tenuta Guado al Tasso Matarocchio 2016,4.7,425,230,"Maremma Toscana, Italy"
14,Antinori,Tenuta Tignanello 'Solaia' 2018,4.7,482.94,223,"Toscana, Italy"
15,Château d'Yquem,Sauternes 2018,4.7,469.99,194,"Sauternes, France"
16,Quintarelli Giuseppe,Recioto della Valpolicella Classico 2007,4.7,194.98,187,"Recioto della Valpolicella, Italy"
17,Casanova di Neri,Cerretalto Brunello di Montalcino 2015,4.7,349.95,180,"Brunello di Montalcino, Italy"
18,Quinta do Crasto,Vinha da Ponte 2016,4.7,233.99,134,"Douro, Portugal"
19,Avignonesi,Vin Santo di Montepulciano Occhio di Pernice 2005,4.7,279.80,103,"Vin Santo di Montepulciano, Italy"
20,Ferragù,Amarone della Valpolicella 2015,4.7,149.99,64,"Amarone della Valpolicella, Italy"
21,Viña Cobos,Cobos Viña Cobos Malbec 2018,4.7,434.99,59,"Lujan de Cuyo, Argentina"
22,Blandy's,Sercial Madeira 1968,4.7,429.99,59,"Madeira, Portugal"
23,Rafael Palacios,Sorte O Soro Val do Bibei 2019,4.7,324.99,57,"Valdeorras, Spain"
24,Ordóñez,Vatan Arena Tinta de Toro 2015,4.7,399.99,56,"Toro, Spain"
25,Teso La Monja,Alabaster 2019,4.7,225,49,"Toro, Spain"
26,Stefano Accordini,Il Fornetto Riserva Amarone della Valpolicella Classico 2015,4.7,99.99,37,"Amarone della Valpolicella Classico, Italy"
27,Aura di Valerie,Amarone della Valpolicella Classico 2017,4.7,69.99,29,"Amarone della Valpolicella Classico, Italy"
28,Bussola,Amarone della Valpolicella Classico Vigneto Alto TB 2010,4.7,215,27,"Amarone della Valpolicella Classico, Italy"
29,Pago de Carraovejas,Cuesta de Las Liebres 2018,4.7,225,26,"Ribera del Duero, Spain"
30,Joh. Jos. Prüm,Bernkasteler Badstube Riesling Beerenauslese 2006,4.7,199.99,25,"Bernkastel, Germany"
31,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2019,4.6,149.99,2251,"Ribera del Duero, Spain"
32,Dom Pérignon,Brut Champagne 2012,4.6,269.99,4193,"Champagne, France"
33,Tenuta San Guido,Sassicaia 2005,4.6,440,2891,"Bolgheri Sassicaia, Italy"
34,El Enemigo,Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2017,4.6,113.99,2645,"Gualtallary, Argentina"
35,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2014,4.6,104.95,2567,"Agrelo, Argentina"
36,Catena Zapata,Nicolás Catena Zapata 2016,4.6,88.50,2271,"Mendoza, Argentina"
37,Krug,Grande Cuvée Brut Champagne N.V.,4.6,261.99,26733,"Champagne, France"
38,W. & J. Graham's,40 Year Old Tawny Port N.V.,4.6,199.95,2215,"Porto, Portugal"
39,Antinori,Tignanello 2019,4.6,189,2187,"Toscana, Italy"
40,Clos Apalta,Clos Apalta 2015,4.6,149.99,1927,"Apalta Valley, Chile"
41,Antinori,Tenuta Tignanello 'Solaia' 2012,4.6,275,1814,"Toscana, Italy"
42,Château Léoville Barton,Saint-Julien (Grand Cru Classé) 2010,4.6,222,1562,"Saint-Julien, France"
43,Taylor's,40 Year Old Tawny Port N.V.,4.6,264.99,1531,"Porto, Portugal"
44,Clos Apalta,Clos Apalta 2014,4.6,134.99,1415,"Apalta Valley, Chile"
45,Ornellaia,Bolgheri Superiore 2017,4.6,264.99,1396,"Bolgheri Superiore, Italy"
46,Alión,Ribera del Duero 2018,4.6,114.95,1296,"Ribera del Duero, Spain"
47,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2005,4.6,459.99,977,"Saint-Julien, France"
48,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2016,4.6,229.99,891,"Pauillac, France"
49,Cartuxa,Pêra-Manca Tinto 2015,4.6,260,837,"Alentejo, Portugal"
50,El Enemigo,Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2017,4.6,112.99,653,"Agrelo, Argentina"
51,Louis Roederer,Cristal Brut Champagne (Millésimé) 2014,4.6,385.15,627,"Champagne, France"
52,Cos d'Estournel,Cos d'Estournel 2016,4.6,384.99,614,"Saint-Estèphe, France"
53,El Enemigo,Gran Enemigo Single Vineyard Chacayes Cabernet Franc 2017,4.6,76.99,567,"Tunuyán, Argentina"
54,Luigi Bosca,Icono 2008,4.6,249.99,565,"Lujan de Cuyo, Argentina"
55,Mouchão,Tonel Nº 3 - 4 2013,4.6,226.70,529,"Alentejo, Portugal"
56,Ornellaia,Bolgheri Superiore 2019,4.6,235,491,"Bolgheri Superiore, Italy"
57,Château La Conseillante,Pomerol 2010,4.6,339.99,473,"Pomerol, France"
58,Marqués de Murrieta,Dalmau Rioja 2017,4.6,108.98,408,"Rioja, Spain"
59,Aalto,PS (Pagos Seleccionados) Ribera del Duero 2004,4.6,390,404,"Ribera del Duero, Spain"
60,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2015,4.6,304.99,395,"Saint-Julien, France"
61,Viña Vik Winery,VIK 2014,4.6,164.99,366,"Colchagua Valley, Chile"
62,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé) 2015,4.6,299.99,363,"Saint-Julien, France"
63,Viñedos de Páganos,La Nieta 2017,4.6,149.95,352,"Rioja, Spain"
64,Bodegas Mauro,Terreus Paraje de Cueva Baja 2015,4.6,156.40,335,"Castilla y León, Spain"
65,Viñedos de Páganos,La Nieta 2018,4.6,135.60,278,"Rioja, Spain"
66,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2016,4.6,349.99,266,"Saint-Julien, France"
67,Viñedo Chadwick,Red 2015,4.6,375,253,"Maipo Valley, Chile"
68,Ruinart,Dom Ruinart Rosé Brut Champagne 2007,4.6,434.99,241,"Champagne, France"
69,Bodega Contador (Benjamín Romeo),Contador Rioja 2011,4.6,350,233,"Rioja, Spain"
70,Ornellaia,La Grazia 2018,4.6,269.99,204,"Bolgheri Superiore, Italy"
71,Clos d'Ora,Minervois La Livinière Rouge 2015,4.6,229.99,189,"Minervois La Livinière, France"
72,Bodega Contador (Benjamín Romeo),Contador Rioja 2014,4.6,279.99,180,"Rioja, Spain"
73,Gaja,Darmagi Langhe 2013,4.6,224.98,167,"Langhe, Italy"
74,Teso La Monja,Alabaster 2017,4.6,225,167,"Toro, Spain"
75,Viñedos de Páganos,La Nieta 2019,4.6,148,165,"Rioja, Spain"
76,Wine & Soul,Douro Pintas Tinto 2019,4.6,115.80,165,"Douro, Portugal"
77,Bodegas Roda,Cirsion Rioja 2017,4.6,230,163,"Rioja, Spain"
78,Catena Zapata,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2014,4.6,299,163,"Tupungato, Argentina"
79,Catena Zapata,Adrianna Vineyard Mundus Bacillus Terrae Malbec 2015,4.6,331.99,156,"Tupungato, Argentina"
80,Bussola,Amarone della Valpolicella Classico Vigneto Alto TB 2005,4.6,375,154,"Amarone della Valpolicella Classico, Italy"
81,Torbreck,RunRig 2017,4.6,169.95,149,"Barossa Valley, Australia"
82,Wine & Soul,Douro Pintas Tinto 2018,4.6,113.90,132,"Douro, Portugal"
83,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2018,4.6,314.99,122,"Saint-Julien, France"
84,Tomás Postigo,5º Año Ribera del Duero Tinto 2017,4.6,74.99,108,"Ribera del Duero, Spain"
85,Poggio di Sotto,Brunello di Montalcino Riserva 2013,4.6,424.95,104,"Brunello di Montalcino, Italy"
86,Remírez de Ganuza,Gran Reserva 2010,4.6,169,103,"Rioja, Spain"
87,Philipponnat,Clos des Goisses Champagne 2011,4.6,259.99,102,"Champagne, France"
88,Château d'Esclans,Garrus Rosé 2020,4.6,119.95,100,"Côtes de Provence, France"
89,Wine & Soul,Douro Quinta da Manoella VV Tinto 2018,4.6,115.80,93,"Douro, Portugal"
90,Forstmeister Geltz-Zilliken,Saarburger Rausch Riesling Auslese 2005,4.6,169.99,87,"Mosel, Germany"
91,Dominio del Bendito,El Titán del Bendito 2019,4.6,81.99,67,"Toro, Spain"
92,Cupano,Brunello di Montalcino Riserva 2015,4.6,169.99,63,"Brunello di Montalcino, Italy"
93,Dal Forno Romano,Amarone della Valpolicella Monte Lodoletta 2015,4.6,414.40,61,"Amarone della Valpolicella, Italy"
94,Château Le Gay,Pomerol 2016,4.6,179.99,52,"Pomerol, France"
95,Gaja,Gaia & Rey Langhe 2020,4.6,344.99,49,"Langhe, Italy"
96,Henri Giraud,Argonne 2013,4.6,499,49,"Champagne Grand Cru 'Aÿ', France"
97,Artadi,La Poza de Ballesteros 2009,4.6,185,46,"Vino de España, Spain"
98,Château l'Évangile,Pomerol 2018,4.6,354.99,44,"Pomerol, France"
99,Remírez de Ganuza,Rioja Reserva 1997,4.6,165,43,"Rioja, Spain"
100,Château Magdelaine,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1983,4.6,399.99,37,"Saint-Émilion Grand Cru, France"
101,Billecart-Salmon,Cuvée Elisabeth Salmon Brut Rosé Champagne 2009,4.6,215,33,"Champagne, France"
102,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2016,4.6,123.50,32,"Valpolicella, Italy"
103,Cupano,Brunello di Montalcino Riserva 2016,4.6,169.99,32,"Brunello di Montalcino, Italy"
104,E. Guigal,Ermitage Ex-Voto Blanc 2017,4.6,251.10,30,"Hermitage, France"
105,Miles,Tinta Negra 1996,4.6,147.99,27,"Madeira, Portugal"
106,Viña Cobos,Bramare Malbec Lujan de Cuyo 2019,4.5,44.98,2251,"Lujan de Cuyo, Argentina"
107,Laurent-Perrier,Grand Siècle Champagne (Grande Cuvée) N.V.,4.5,259.99,9180,"Champagne, France"
108,Pago de Carraovejas,Tinto 2019,4.5,49.99,4685,"Ribera del Duero, Spain"
109,W. & J. Graham's,30 Year Old Tawny Port N.V.,4.5,119.95,3312,"Porto, Portugal"
110,Antinori,Castello della Sala Cervaro della Sala 2019,4.5,54.99,2710,"Umbria, Italy"
111,Carpano,Antica Formula Vermouth N.V.,4.5,41.99,2494,"Piemonte, Italy"
112,San Marzano,60 Sessantanni Old Vines Primitivo di Manduria 2017,4.5,37.99,14100,"Primitivo di Manduria, Italy"
113,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2009,4.5,334.99,2139,"Pauillac, France"
114,Château Lynch-Bages,Pauillac (Grand Cru Classé) 2010,4.5,324.99,2106,"Pauillac, France"
115,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2005,4.5,279.99,2076,"Pauillac, France"
116,Penfolds,Grandfather 20 Year Old Rare Tawny N.V.,4.5,64.99,1926,"Barossa, Australia"
117,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2014,4.5,199,1745,"Bolgheri Superiore, Italy"
118,Pintia,Toro 2017,4.5,104.99,1621,"Toro, Spain"
119,Château Pape Clément,Pessac-Léognan (Grand Cru Classé de Graves) 2015,4.5,164.99,1598,"Pessac-Léognan, France"
120,Sena,Aconcagua Valley 2015,4.5,149,1543,"Aconcagua Valley, Chile"
121,Prats & Symington (P+S),Chryseia Douro 2016,4.5,96.99,1423,"Douro, Portugal"
122,Billecart-Salmon,Cuvée Nicolas François Billecart Brut Champagne 2002,4.5,317.99,1409,"Champagne, France"
123,Sena,Aconcagua Valley 2010,4.5,119.99,1365,"Aconcagua Valley, Chile"
124,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 1995,4.5,489.97,1339,"Pauillac, France"
125,Château Pontet-Canet,Pauillac (Grand Cru Classé) 2015,4.5,174.99,1305,"Pauillac, France"
126,Alión,Ribera del Duero 2003,4.5,170,1268,"Ribera del Duero, Spain"
127,Taylor's,30 Year Old Tawny Port N.V.,4.5,142.99,1266,"Porto, Portugal"
128,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2010,4.5,345.99,1258,"Pauillac, France"
129,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2006,4.5,319.99,1230,"Saint-Julien, France"
130,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 1986,4.5,399.99,1203,"Pauillac, France"
131,Sena,Aconcagua Valley 2012,4.5,139.99,1199,"Aconcagua Valley, Chile"
132,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2009,4.5,379.99,1179,"Saint-Émilion Grand Cru, France"
133,Sena,Aconcagua Valley 2011,4.5,139.99,1173,"Aconcagua Valley, Chile"
134,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2007,4.5,350,1120,"Valpolicella, Italy"
135,Sena,Aconcagua Valley 2016,4.5,125,1084,"Aconcagua Valley, Chile"
136,Cortes de Cima,Incógnito 2014,4.5,105,1070,"Alentejano, Portugal"
137,Braida,Bricco dell'Uccellone Barbera d'Asti 2018,4.5,95.99,1025,"Barbera d'Asti, Italy"
138,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2010,4.5,399.99,1001,"Saint-Estèphe, France"
139,Sena,Aconcagua Valley 2009,4.5,148,992,"Aconcagua Valley, Chile"
140,Château Margaux,Pavillon Rouge du Château Margaux 2009,4.5,325,988,"Margaux, France"
141,Château Ducru-Beaucaillou,Saint-Julien (Grand Cru Classé) 2005,4.5,469.99,973,"Saint-Julien, France"
142,Casa Ferreirinha,Quinta da Leda Douro 2018,4.5,95.99,954,"Douro, Portugal"
143,Cos d'Estournel,Cos d'Estournel 2010,4.5,459.99,953,"Saint-Estèphe, France"
144,Bodegas Tradición,Pedro Ximenez Tradición 20 Years Old Vos N.V.,4.5,129.99,926,"Pedro Ximénez Sherry (PX), Spain"
145,Sandeman,30 Years Old Tawny Porto N.V.,4.5,124.99,922,"Porto, Portugal"
146,Donnafugata,Ben Ryé Passito di Pantelleria 2019,4.5,54.99,851,"Passito di Pantelleria, Italy"
147,Clos Apalta,Clos Apalta 2007,4.5,237.50,835,"Apalta Valley, Chile"
148,Château Pichon Baron,Pauillac (Grand Cru Classé) 2016,4.5,284.99,833,"Pauillac, France"
149,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2013,4.5,129.99,820,"Valpolicella, Italy"
150,Armand de Brignac,Brut Rosé Champagne N.V.,4.5,499.99,802,"Champagne, France"
151,Casanova di Neri,Tenuta Nuova Brunello di Montalcino 2016,4.5,149.99,782,"Brunello di Montalcino, Italy"
152,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 2019,4.5,129.98,701,"Bolgheri Superiore, Italy"
153,Veuve Clicquot,La Grande Dame Brut Champagne 2012,4.5,199.99,699,"Champagne, France"
154,Arzuaga,Reserva Ribera del Duero 2017,4.5,54.99,697,"Ribera del Duero, Spain"
155,Château Troplong Mondot,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.5,179.97,690,"Saint-Émilion Grand Cru, France"
156,Viña Vik Winery,La Piu Belle 2019,4.5,92.99,672,"Cachapoal Valley, Chile"
157,Billecart-Salmon,Cuvée Elisabeth Salmon Brut Rosé Champagne 2008,4.5,259.99,657,"Champagne, France"
158,Château Haut-Bailly,Château Haut-Bailly (Cru Classé de Graves) 2009,4.5,349.99,645,"Pessac-Léognan, France"
159,El Enemigo,Gran Enemigo 2017,4.5,84.99,643,"Mendoza, Argentina"
160,Bollinger,La Grande Année Brut Champagne 2014,4.5,249.99,638,"Champagne, France"
161,Viña Cobos,Vinculum Malbec 2018,4.5,71.99,580,"Mendoza, Argentina"
162,Muga,Prado Enea Gran Reserva 2015,4.5,100.80,570,"Rioja, Spain"
163,Dow's,30 Years Old Tawny Port N.V.,4.5,135,565,"Porto, Portugal"
164,Quinta do Crasto,Touriga Nacional 2016,4.5,78.30,552,"Douro, Portugal"
165,Gaja,Pieve Santa Restituta Sugarille Brunello di Montalcino 2004,4.5,384.95,544,"Brunello di Montalcino, Italy"
166,Don Melchor,Cabernet Sauvignon 2019,4.5,140,533,"Puente Alto, Chile"
167,Remírez de Ganuza,Trasnocho 2012,4.5,145,524,"Rioja, Spain"
168,Catena Zapata,Nicolás Catena Zapata 2018,4.5,64.99,518,"Mendoza, Argentina"
169,Bodega Norton,Gernot 2015,4.5,87.98,500,"Lujan de Cuyo, Argentina"
170,Zuccardi,Finca Canal Uco 2015,4.5,115.95,493,"Paraje Altamira, Argentina"
171,Clos Apalta,Clos Apalta 2018,4.5,99.99,483,"Apalta Valley, Chile"
172,Stefano Accordini,Acinatico Amarone della Valpolicella Classico 2018,4.5,39.99,477,"Amarone della Valpolicella Classico, Italy"
173,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2014,4.5,129.99,450,"Valpolicella, Italy"
174,Dow's,Vintage Port 1994,4.5,144.40,445,"Porto, Portugal"
175,Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos 2014,4.5,78.99,441,"Ribera del Duero, Spain"
176,Viña Cobos,Bramare Malbec Uco Valley 2019,4.5,39.95,415,"Uco Valley, Argentina"
177,Antinori,Tenuta Guado al Tasso Bolgheri Superiore 1997,4.5,255,403,"Bolgheri Superiore, Italy"
178,Gaja,Sperss Barolo 2014,4.5,320,376,"Barolo, Italy"
179,Château Pichon Longueville Comtesse de Lalande,Pauillac (Grand Cru Classé) 2016,4.5,379.99,373,"Pauillac, France"
180,Bodegas Mauro,VS 2017,4.5,95.90,369,"Castilla y León, Spain"
181,Fontodi,Flaccianello della Pieve 2018,4.5,185,369,"Colli della Toscana Centrale, Italy"
182,Milsetentayseis,Tinto 2018,4.5,69.90,365,"Ribera del Duero, Spain"
183,Château Canon,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2015,4.5,384.99,363,"Saint-Émilion Grand Cru, France"
184,Cos d'Estournel,Cos d'Estournel 2015,4.5,279.99,330,"Saint-Estèphe, France"
185,Almaviva,Almaviva 2019,4.5,149.99,323,"Puente Alto, Chile"
186,Marqués de Riscal,Barón de Chirel Rioja Reserva 2016,4.5,74.90,295,"Rioja, Spain"
187,Château Margaux,Pavillon Rouge du Château Margaux 2016,4.5,276,293,"Margaux, France"
188,Churchill's,Vintage Port 2011,4.5,152.99,293,"Porto, Portugal"
189,Arzuaga,Gran Reserva Ribera del Duero 2015,4.5,112.99,292,"Ribera del Duero, Spain"
190,Casanova di Neri,Tenuta Nuova Brunello di Montalcino 2017,4.5,145,275,"Brunello di Montalcino, Italy"
191,Frerejean Frères,VV 26 Blanc de Blancs Vieilles Vignes Grand Cru Brut N.V.,4.5,179,272,"Champagne, France"
192,Contino,Viña del Olivo 2017,4.5,161.50,266,"Rioja, Spain"
193,Mascarello Giuseppe e Figlio,Barolo Monprivato 2015,4.5,225,227,"Barolo, Italy"
194,Espectacle del Montsant,Tinto 2013,4.5,161.99,224,"Montsant, Spain"
195,Emilio Moro,Malleolus de Valderramiro 2018,4.5,161.50,223,"Ribera del Duero, Spain"
196,Château Mouton Rothschild,Le Petit Mouton de Mouton Rothschild Pauillac 2016,4.5,399.99,220,"Pauillac, France"
197,Delamotte,Collection Blanc de Blancs Champagne Grand Cru 'Le Mesnil-sur-Oger 1999,4.5,399.99,219,"Champagne Grand Cru 'Le Mesnil-sur-Oger', France"
198,Bodegas Mauro,VS 2018,4.5,97.60,214,"Castilla y León, Spain"
199,Château Rieussec,Sauternes (Premier Grand Cru Classé) 1986,4.5,249.99,212,"Sauternes, France"
200,Biondi-Santi,Brunello di Montalcino 2016,4.5,236.20,208,"Brunello di Montalcino, Italy"
201,Viña Cobos,Bramare Zingaretti Vineyard Malbec 2017,4.5,104.99,206,"Uco Valley, Argentina"
202,Argiolas,Turriga Isola dei Nuraghi 2018,4.5,90.10,200,"Isola dei Nuraghi, Italy"
203,Biserno,Bibbona 2019,4.5,166.45,198,"Toscana, Italy"
204,Brunelli,Amarone della Valpolicella Classico 2019,4.5,34.99,197,"Amarone della Valpolicella Classico, Italy"
205,Rocca di Frassinello,Baffonero Maremma Toscana 2015,4.5,245,194,"Maremma Toscana, Italy"
206,Château Latour,Les Forts de Latour Pauillac 2015,4.5,428.99,191,"Pauillac, France"
207,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta 2015,4.5,129.99,191,"Valpolicella, Italy"
208,Pinea,17 2019,4.5,61.99,186,"Ribera del Duero, Spain"
209,Cos d'Estournel,Cos d'Estournel 2018,4.5,309.99,186,"Saint-Estèphe, France"
210,Château La Fleur-Pétrus,Pomerol 2017,4.5,250,184,"Pomerol, France"
211,La Spinetta,Vürsù Barbaresco Valeirano 2008,4.5,219.99,183,"Barbaresco, Italy"
212,Dominio de Cair,Cruz del Pendón 2014,4.5,98.99,183,"Ribera del Duero, Spain"
213,Zuccardi,Finca Piedra Infinita 2017,4.5,169.99,167,"Paraje Altamira, Argentina"
214,Dow's,40 Years Old Tawny Port N.V.,4.5,206.50,165,"Porto, Portugal"
215,Château Maillet,Pomerol 2018,4.5,39.99,159,"Pomerol, France"
216,Coppo,Pomorosso Nizza 2018,4.5,69.99,158,"Nizza, Italy"
217,Château Lafaurie-Peyraguey,Sauternes (Premier Grand Cru Classé) 1986,4.5,119.99,151,"Sauternes, France"
218,Ossian,Capitel 2018,4.5,105,146,"Castilla y León, Spain"
219,Emilio Moro,Malleolus de Sanchomartin 2018,4.5,182,145,"Ribera del Duero, Spain"
220,Billecart-Salmon,Cuvée Louis Blanc de Blancs Brut Champagne 2008,4.5,195.98,142,"Champagne, France"
221,Poggio San Polo,Podernovi Brunello di Montalcino 2015,4.5,149.99,123,"Brunello di Montalcino, Italy"
222,Dom Pérignon,Lady Gaga Edition Brut Champagne 2010,4.5,349.99,122,"Champagne, France"
223,D'Oliveiras,Terrantez Madeira 1977,4.5,365.40,121,"Madeira, Portugal"
224,Martinet,Camí Pesseroles 2010,4.5,148.99,121,"Priorat, Spain"
225,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2018,4.5,369.99,120,"Saint-Émilion Grand Cru, France"
226,Sierra Cantabria,Finca el Bosque 2018,4.5,135,115,"Rioja, Spain"
227,Château Montrose,Saint-Estèphe (Grand Cru Classé) 2018,4.5,284.99,114,"Saint-Estèphe, France"
228,Cousiño-Macul,Lota 2017,4.5,86.99,111,"Maipo Valley, Chile"
229,Elderton,Command Single Vineyard Shiraz 2017,4.5,66.99,111,"Barossa, Australia"
230,Epifanio Rivera,Erial Tradición Familia 2019,4.5,42.99,111,"Ribera del Duero, Spain"
231,Artadi,Grandes Añadas Rioja 2001,4.5,299,107,"Rioja, Spain"
232,Gramona,Cava Celler Batlle 2009,4.5,112.20,105,"Cava, Spain"
